Data Table for Daily Death Trends - The United States
Date generated: Thu Mar 17 2022 16:15:46 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Sep 23 2020,907,690,0
United States,Sep 22 2020,659,718,0
United States,Sep 21 2020,580,735,0
United States,Sep 20 2020,472,717,0
United States,Sep 19 2020,658,756,0
United States,Sep 18 2020,823,755,0
United States,Sep 17 2020,732,763,0
United States,Sep 16 2020,1107,779,0
United States,Sep 15 2020,776,741,0
United States,Sep 14 2020,454,713,0
United States,Sep 13 2020,746,708,0
United States,Sep 12 2020,650,700,0
United States,Sep 11 2020,880,720,0
United States,Sep 10 2020,846,727,0
United States,Sep  9 2020,840,742,0
United States,Sep  8 2020,576,747,0
United States,Sep  7 2020,420,787,0
United States,Sep  6 2020,694,811,0
United States,Sep  5 2020,789,816,0
United States,Sep  4 2020,929,820,0
United States,Sep  3 2020,952,835,0
United States,Sep  2 2020,874,837,0
United States,Sep  1 2020,857,864,0
United States,Aug 31 2020,584,869,0
United States,Aug 30 2020,727,873,0
United States,Aug 29 2020,820,890,0
United States,Aug 28 2020,1037,915,0
United States,Aug 27 2020,960,913,0
United States,Aug 26 2020,1065,918,0
United States,Aug 25 2020,890,949,0
United States,Aug 24 2020,613,956,0
United States,Aug 23 2020,845,962,0
United States,Aug 22 2020,998,969,0
United States,Aug 21 2020,1023,961,0
United States,Aug 20 2020,995,967,0
United States,Aug 19 2020,1280,996,0
United States,Aug 18 2020,942,1005,0
United States,Aug 17 2020,656,1027,0
United States,Aug 16 2020,890,1051,0
United States,Aug 15 2020,942,1052,0
United States,Aug 14 2020,1065,1066,0
United States,Aug 13 2020,1202,1102,0
United States,Aug 12 2020,1341,1103,0
United States,Aug 11 2020,1097,1092,0
United States,Aug 10 2020,823,1091,0
United States,Aug  9 2020,896,1100,0
United States,Aug  8 2020,1043,1104,0
United States,Aug  7 2020,1318,1115,0
United States,Aug  6 2020,1204,1125,0
United States,Aug  5 2020,1266,1156,0
United States,Aug  4 2020,1089,1142,0
United States,Aug  3 2020,890,1156,0
United States,Aug  2 2020,918,1165,0
United States,Aug  1 2020,1125,1170,0
United States,Jul 31 2020,1389,1172,0
United States,Jul 30 2020,1421,1165,0
United States,Jul 29 2020,1168,1142,0
United States,Jul 28 2020,1185,1146,0
United States,Jul 27 2020,953,1146,0
United States,Jul 26 2020,951,1136,0
United States,Jul 25 2020,1142,1133,0
United States,Jul 24 2020,1338,1112,0
United States,Jul 23 2020,1261,1077,0
United States,Jul 22 2020,1195,1051,0
United States,Jul 21 2020,1185,1042,0
United States,Jul 20 2020,880,1004,0
United States,Jul 19 2020,934,984,0
United States,Jul 18 2020,995,970,0
United States,Jul 17 2020,1091,954,0
United States,Jul 16 2020,1082,934,0
United States,Jul 15 2020,1127,916,0
United States,Jul 14 2020,925,910,0
United States,Jul 13 2020,736,910,0
United States,Jul 12 2020,834,895,0
United States,Jul 11 2020,887,840,0
United States,Jul 10 2020,952,791,0
United States,Jul  9 2020,952,771,0
United States,Jul  8 2020,1090,736,0
United States,Jul  7 2020,923,692,0
United States,Jul  6 2020,627,652,0
United States,Jul  5 2020,455,630,0
United States,Jul  4 2020,543,627,0
United States,Jul  3 2020,812,632,0
United States,Jul  2 2020,705,617,0
United States,Jul  1 2020,782,619,0
United States,Jun 30 2020,640,606,0
United States,Jun 29 2020,474,620,0
United States,Jun 28 2020,438,623,0
United States,Jun 27 2020,576,620,0
United States,Jun 26 2020,706,620,0
United States,Jun 25 2020,720,625,1824
United States,Jun 24 2020,692,616,0
United States,Jun 23 2020,737,614,0
United States,Jun 22 2020,496,604,0
United States,Jun 21 2020,418,610,0
United States,Jun 20 2020,572,620,0
United States,Jun 19 2020,744,636,0
United States,Jun 18 2020,655,634,0
United States,Jun 17 2020,678,668,0
United States,Jun 16 2020,669,696,0
United States,Jun 15 2020,537,718,0
United States,Jun 14 2020,488,756,0
United States,Jun 13 2020,684,770,0
United States,Jun 12 2020,731,769,0
United States,Jun 11 2020,894,788,0
United States,Jun 10 2020,869,785,0
United States,Jun  9 2020,827,808,0
United States,Jun  8 2020,799,824,0
United States,Jun  7 2020,586,809,0
United States,Jun  6 2020,678,823,0
United States,Jun  5 2020,865,855,0
United States,Jun  4 2020,876,880,0
United States,Jun  3 2020,1028,928,0
United States,Jun  2 2020,939,966,0
United States,Jun  1 2020,694,950,0
United States,May 31 2020,684,948,0
United States,May 30 2020,900,966,0
United States,May 29 2020,1039,969,0
United States,May 28 2020,1218,1077,0
United States,May 27 2020,1288,1059,0
United States,May 26 2020,831,1070,0
United States,May 25 2020,681,1120,0
United States,May 24 2020,809,1161,0
United States,May 23 2020,923,1178,0
United States,May 22 2020,1794,1221,0
United States,May 21 2020,1091,1185,0
United States,May 20 2020,1363,1305,0
United States,May 19 2020,1184,1325,0
United States,May 18 2020,966,1375,0
United States,May 17 2020,926,1389,0
United States,May 16 2020,1225,1411,0
United States,May 15 2020,1542,1449,0
United States,May 14 2020,1933,1458,0
United States,May 13 2020,1504,1482,0
United States,May 12 2020,1530,1600,0
United States,May 11 2020,1067,1729,0
United States,May 10 2020,1081,1754,0
United States,May  9 2020,1491,1805,0
United States,May  8 2020,1603,1821,0
United States,May  7 2020,2098,1867,0
United States,May  6 2020,2335,1886,0
United States,May  5 2020,2433,1897,0
United States,May  4 2020,1242,1850,0
United States,May  3 2020,1433,1889,0
United States,May  2 2020,1606,1906,0
United States,May  1 2020,1927,1943,0
United States,Apr 30 2020,2227,1964,0
United States,Apr 29 2020,2414,1932,0
United States,Apr 28 2020,2106,1909,0
United States,Apr 27 2020,1513,1988,0
United States,Apr 26 2020,1552,2065,0
United States,Apr 25 2020,1862,2130,0
